Subiect  Stimul  Valenta  Excitare
9 31 5.96 5.96
9 39 5.78 5.78
10 3 7.65 7.65
10 4 7.41 7.41
10 7 6.26 6.26
10 8 7.04 7.04
10 32 5.64 5.64
11 0 7.09 7.09
11 1 6.09 6.09
11 2 7.33 7.33
11 3 6.86 6.86
11 5 6.65 6.65
11 6 6.77 6.77
11 8 7.95 7.95
11 11 6.86 6.86
11 12 7.99 7.99
11 14 7.08 7.08
11 18 7.03 7.03
11 19 7.35 7.35
11 39 6.81 6.81
12 0 6.15 6.15
12 2 9.0 9.0
12 3 7.08 7.08
12 7 7.99 7.99
12 8 7.06 7.06
12 10 7.04 7.04
12 12 9.0 9.0
12 17 7.94 7.94
12 18 8.51 8.51
12 19 7.6 7.6
12 27 7.08 7.08
13 0 8.22 8.22
13 1 6.05 6.05
13 2 7.5 7.5
13 3 7.38 7.38
13 5 7.19 7.19
13 6 6.85 6.85
13 7 7.0 7.0
13 8 7.69 7.69
13 18 7.55 7.55
13 19 7.33 7.33
13 38 6.65 6.65
13 39 6.68 6.68
14 0 8.9 8.9
14 4 9.0 9.0
15 2 6.74 6.74
15 3 7.09 7.09
15 4 5.51 5.51
15 17 6.56 6.56
15 36 6.09 6.09
15 38 6.13 6.13
16 1 7.26 7.26
16 2 6.46 6.46
16 3 6.35 6.35
16 4 7.05 7.05
16 5 6.9 6.9
16 6 7.08 7.08
16 8 6.04 6.04
16 9 6.09 6.09
16 10 6.03 6.03
16 13 6.58 6.58
16 18 7.27 7.27
16 38 7.1 7.1
17 0 6.33 6.33
17 1 6.87 6.87
17 2 6.36 6.36
17 3 6.65 6.65
17 4 6.13 6.13
17 5 6.51 6.51
17 6 7.33 7.33
17 8 6.55 6.55
17 9 6.09 6.09
17 10 6.24 6.24
17 16 7.74 7.74
17 18 7.04 7.04
17 19 6.24 6.24
18 0 7.44 7.44
18 1 6.46 6.46
18 2 6.82 6.82
18 3 5.77 5.77
18 4 7.79 7.79
18 5 7.73 7.73
18 6 6.64 6.64
18 7 7.44 7.44
18 8 7.09 7.09
18 10 5.83 5.83
18 11 6.26 6.26
18 12 7.53 7.53
18 17 7.77 7.77
18 18 7.65 7.65
18 19 6.13 6.13
19 3 7.05 7.05
19 4 8.82 8.82
19 5 7.62 7.62
19 7 7.63 7.63
19 8 8.22 8.22
19 10 8.18 8.18
19 13 6.4 6.4
19 17 7.35 7.35
19 18 7.59 7.59
19 31 6.28 6.28
20 1 7.05 7.05
20 4 8.09 8.09
20 5 7.92 7.92
20 6 7.05 7.05
20 7 8.81 8.81
20 8 8.56 8.56
20 9 7.05 7.05
20 10 7.05 7.05
20 13 8.1 8.1
20 14 6.92 6.92
20 15 5.99 5.99
20 17 7.99 7.99
20 18 7.26 7.26
20 31 6.27 6.27
20 32 7.03 7.03
20 35 6.88 6.88
20 38 6.09 6.09
21 1 7.08 7.08
21 2 7.05 7.05
21 3 7.06 7.06
21 4 7.1 7.1
21 8 9.0 9.0
21 10 8.05 8.05
21 13 8.05 8.05
21 17 8.08 8.08
21 18 9.0 9.0
21 26 7.06 7.06
22 0 7.71 7.71
22 1 9.0 9.0
22 3 8.21 8.21
22 4 6.94 6.94
22 6 8.94 8.94
22 13 8.01 8.01
22 31 7.97 7.97
22 33 6.72 6.72
23 0 7.06 7.06
23 1 6.04 6.04
23 2 8.96 8.96
23 3 6.05 6.05
23 4 7.06 7.06
23 5 5.96 5.96
23 12 8.0 8.0
23 13 8.05 8.05
23 17 8.96 8.96
24 0 8.06 8.06
24 2 7.12 7.12
24 6 6.08 6.08
24 7 8.04 8.04
24 8 8.09 8.09
24 10 9.0 9.0
24 11 8.04 8.04
24 12 7.97 7.97
24 13 8.09 8.09
24 18 7.06 7.06
24 19 7.08 7.08
24 21 8.03 8.03
25 0 7.97 7.97
25 1 6.96 6.96
25 2 9.0 9.0
25 3 8.03 8.03
25 5 8.09 8.09
25 6 6.08 6.08
25 7 8.01 8.01
25 8 8.05 8.05
25 10 8.04 8.04
25 13 9.0 9.0
25 18 8.0 8.0
25 19 8.08 8.08
26 1 7.0 7.0
26 2 9.0 9.0
26 3 7.05 7.05
26 7 8.24 8.24
26 8 8.99 8.99
26 12 7.01 7.01
26 13 8.06 8.06
26 15 8.06 8.06
26 16 9.0 9.0
26 17 9.0 9.0
26 20 9.0 9.0
26 22 8.0 8.0
26 23 8.9 8.9
26 29 7.08 7.08
26 35 6.13 6.13
27 0 7.03 7.03
27 1 7.99 7.99
27 2 9.0 9.0
27 3 8.08 8.08
27 4 7.04 7.04
27 5 8.15 8.15
27 6 8.09 8.09
27 9 7.99 7.99
27 18 7.03 7.03
27 19 8.04 8.04
27 26 6.08 6.08
27 30 6.91 6.91
27 32 7.01 7.01
27 33 5.99 5.99
27 39 7.1 7.1
28 1 7.05 7.05
28 2 9.0 9.0
28 3 7.17 7.17
28 4 6.05 6.05
28 5 8.03 8.03
28 6 7.04 7.04
28 8 7.06 7.06
28 9 7.01 7.01
28 10 8.03 8.03
28 18 7.05 7.05
28 19 8.03 8.03
28 26 7.09 7.09
28 38 6.05 6.05
28 39 6.01 6.01
29 1 7.15 7.15
29 2 6.15 6.15
29 3 7.04 7.04
29 4 6.19 6.19
29 5 6.22 6.22
29 7 6.05 6.05
29 8 7.08 7.08
29 10 6.06 6.06
29 16 7.13 7.13
29 18 8.27 8.27
29 19 7.26 7.26
29 26 8.01 8.01
30 0 6.79 6.79
30 18 7.95 7.95
31 2 8.05 8.05
31 4 7.15 7.15
31 7 7.96 7.96
31 10 8.24 8.24
31 13 7.1 7.1
31 17 8.03 8.03
31 18 8.24 8.24
31 26 6.0 6.0

1 1 8.01 8.01
1 2 9.0 9.0
1 7 9.0 9.0
1 8 9.0 9.0
1 11 8.01 8.01
1 13 8.94 8.94
1 14 9.0 9.0
1 17 9.0 9.0
1 18 9.0 9.0
1 19 8.97 8.97
1 23 7.08 7.08
1 24 9.0 9.0
1 25 9.0 9.0
1 39 6.05 6.05
3 2 8.95 8.95
3 10 7.24 7.24
3 13 6.96 6.96
3 14 6.96 6.96
3 16 7.01 7.01
3 18 7.09 7.09
3 19 8.17 8.17
3 24 7.0 7.0
3 26 6.14 6.14
4 1 9.0 9.0
4 5 8.09 8.09
4 7 8.17 8.17
4 10 9.0 9.0
4 14 6.97 6.97
4 21 6.99 6.99
4 30 6.9 6.9
4 33 6.03 6.03
4 39 7.0 7.0
5 1 6.83 6.83
5 2 7.69 7.69
5 3 7.55 7.55
5 4 7.01 7.01
5 6 8.26 8.26
5 17 7.59 7.59
5 18 7.41 7.41
5 24 7.09 7.09
5 35 5.71 5.71
5 38 6.56 6.56
6 1 7.15 7.15
6 4 7.05 7.05
6 5 6.97 6.97
6 6 7.08 7.08
6 7 7.0 7.0
6 9 7.09 7.09
6 10 7.03 7.03
6 18 6.99 6.99
6 19 8.06 8.06
6 30 6.96 6.96
6 35 8.1 8.1
6 38 7.01 7.01
6 39 7.01 7.01
7 0 7.6 7.6
7 2 8.15 8.15
7 3 6.82 6.82
7 5 7.4 7.4
7 7 8.82 8.82
7 8 8.78 8.78
7 11 8.47 8.47
7 31 6.33 6.33
8 1 7.08 7.08
8 2 7.08 7.08
8 3 5.99 5.99
8 5 7.04 7.04
8 10 7.12 7.12
8 11 7.08 7.08
8 12 8.15 8.15
8 13 7.0 7.0
8 14 6.21 6.21
8 16 6.03 6.03
8 30 6.06 6.06
9 0 7.91 7.91
9 3 7.01 7.01
9 4 7.24 7.24
9 5 7.1 7.1
9 6 8.96 8.96
9 8 7.56 7.56
9 9 5.94 5.94
9 10 8.99 8.99
9 31 5.96 5.96
9 39 5.78 5.78
10 3 7.65 7.65
10 4 7.41 7.41
10 7 6.26 6.26
10 8 7.04 7.04
10 32 5.64 5.64
11 0 7.09 7.09
11 1 6.09 6.09
11 2 7.33 7.33
11 3 6.86 6.86
11 5 6.65 6.65
11 6 6.77 6.77
11 8 7.95 7.95
11 11 6.86 6.86
11 12 7.99 7.99
11 14 7.08 7.08
11 18 7.03 7.03
11 19 7.35 7.35
11 39 6.81 6.81
12 0 6.15 6.15
12 2 9.0 9.0
12 3 7.08 7.08
12 7 7.99 7.99
12 8 7.06 7.06
12 10 7.04 7.04
12 12 9.0 9.0
12 17 7.94 7.94
12 18 8.51 8.51
12 19 7.6 7.6
12 27 7.08 7.08
13 0 8.22 8.22
13 1 6.05 6.05
13 2 7.5 7.5
13 3 7.38 7.38
13 5 7.19 7.19
13 6 6.85 6.85
13 7 7.0 7.0
13 8 7.69 7.69
13 18 7.55 7.55
13 19 7.33 7.33
13 38 6.65 6.65
13 39 6.68 6.68
14 0 8.9 8.9
14 4 9.0 9.0
15 2 6.74 6.74
15 3 7.09 7.09
15 4 5.51 5.51
15 17 6.56 6.56
15 36 6.09 6.09
15 38 6.13 6.13
16 1 7.26 7.26
16 2 6.46 6.46
16 3 6.35 6.35
16 4 7.05 7.05
16 5 6.9 6.9
16 6 7.08 7.08
16 8 6.04 6.04
16 9 6.09 6.09
16 10 6.03 6.03
16 13 6.58 6.58
16 18 7.27 7.27
16 38 7.1 7.1
17 0 6.33 6.33
17 1 6.87 6.87
17 2 6.36 6.36
17 3 6.65 6.65
17 4 6.13 6.13
17 5 6.51 6.51
17 6 7.33 7.33
17 8 6.55 6.55
17 9 6.09 6.09
17 10 6.24 6.24
17 16 7.74 7.74
17 18 7.04 7.04
17 19 6.24 6.24
18 0 7.44 7.44
18 1 6.46 6.46
18 2 6.82 6.82
18 3 5.77 5.77
18 4 7.79 7.79
18 5 7.73 7.73
18 6 6.64 6.64
18 7 7.44 7.44
18 8 7.09 7.09
18 10 5.83 5.83
18 11 6.26 6.26
18 12 7.53 7.53
18 17 7.77 7.77
18 18 7.65 7.65
18 19 6.13 6.13
19 3 7.05 7.05
19 4 8.82 8.82
19 5 7.62 7.62
19 7 7.63 7.63
19 8 8.22 8.22
19 10 8.18 8.18
19 13 6.4 6.4
19 17 7.35 7.35
19 18 7.59 7.59
19 31 6.28 6.28
20 1 7.05 7.05
20 4 8.09 8.09
20 5 7.92 7.92
20 6 7.05 7.05
20 7 8.81 8.81
20 8 8.56 8.56
20 9 7.05 7.05
20 10 7.05 7.05
20 13 8.1 8.1
20 14 6.92 6.92
20 15 5.99 5.99
20 17 7.99 7.99
20 18 7.26 7.26
20 31 6.27 6.27
20 32 7.03 7.03
20 35 6.88 6.88
20 38 6.09 6.09
21 1 7.08 7.08
21 2 7.05 7.05
21 3 7.06 7.06
21 4 7.1 7.1
21 8 9.0 9.0
21 10 8.05 8.05
21 13 8.05 8.05
21 17 8.08 8.08
21 18 9.0 9.0
21 26 7.06 7.06
22 0 7.71 7.71
22 1 9.0 9.0
22 3 8.21 8.21
22 4 6.94 6.94
22 6 8.94 8.94
22 13 8.01 8.01
22 31 7.97 7.97
22 33 6.72 6.72
23 0 7.06 7.06
23 1 6.04 6.04
23 2 8.96 8.96
23 3 6.05 6.05
23 4 7.06 7.06
23 5 5.96 5.96
23 12 8.0 8.0
23 13 8.05 8.05
23 17 8.96 8.96
24 0 8.06 8.06
24 2 7.12 7.12
24 6 6.08 6.08
24 7 8.04 8.04
24 8 8.09 8.09
24 10 9.0 9.0
24 11 8.04 8.04
24 12 7.97 7.97
24 13 8.09 8.09
24 18 7.06 7.06
24 19 7.08 7.08
24 21 8.03 8.03
25 0 7.97 7.97
25 1 6.96 6.96
25 2 9.0 9.0
25 3 8.03 8.03
25 5 8.09 8.09
25 6 6.08 6.08
25 7 8.01 8.01
25 8 8.05 8.05
25 10 8.04 8.04
25 13 9.0 9.0
25 18 8.0 8.0
25 19 8.08 8.08
26 1 7.0 7.0
26 2 9.0 9.0
26 3 7.05 7.05
26 7 8.24 8.24
26 8 8.99 8.99
26 12 7.01 7.01
26 13 8.06 8.06
26 15 8.06 8.06
26 16 9.0 9.0
26 17 9.0 9.0
26 20 9.0 9.0
26 22 8.0 8.0
26 23 8.9 8.9
26 29 7.08 7.08
26 35 6.13 6.13
27 0 7.03 7.03
27 1 7.99 7.99
27 2 9.0 9.0
27 3 8.08 8.08
27 4 7.04 7.04
27 5 8.15 8.15
27 6 8.09 8.09
27 9 7.99 7.99
27 18 7.03 7.03
27 19 8.04 8.04
27 26 6.08 6.08
27 30 6.91 6.91
27 32 7.01 7.01
27 33 5.99 5.99
27 39 7.1 7.1
28 1 7.05 7.05
28 2 9.0 9.0
28 3 7.17 7.17
28 4 6.05 6.05
28 5 8.03 8.03
28 6 7.04 7.04
28 8 7.06 7.06
28 9 7.01 7.01
28 10 8.03 8.03
28 18 7.05 7.05
28 19 8.03 8.03
28 26 7.09 7.09
28 38 6.05 6.05
28 39 6.01 6.01
29 1 7.15 7.15
29 2 6.15 6.15
29 3 7.04 7.04
29 4 6.19 6.19
29 5 6.22 6.22
29 7 6.05 6.05
29 8 7.08 7.08
29 10 6.06 6.06
29 16 7.13 7.13
29 18 8.27 8.27
29 19 7.26 7.26
29 26 8.01 8.01
30 0 6.79 6.79
30 18 7.95 7.95
31 2 8.05 8.05
31 4 7.15 7.15
31 7 7.96 7.96
31 10 8.24 8.24
31 13 7.1 7.1
31 17 8.03 8.03
31 18 8.24 8.24
31 26 6.0 6.0
